K best
1 0.0
2 0.0
3 11.666666666666666
4 12.0
5 11.200000000000001
6 10.5
7 10.428571428571429
8 10.5
9 10.444444444444443
10 10.0
11 9.636363636363637
12 8.833333333333334
13 8.153846153846155
14 7.571428571428571
15 7.066666666666666
16 6.625
17 6.235294117647059
18 5.888888888888889
19 5.578947368421053
20 5.300000000000001
21 5.0476190476190474
22 4.818181818181818
23 4.608695652173913
24 4.416666666666667
25 4.24
26 4.0769230769230775
27 3.925925925925926
28 3.785714285714285
29 3.655172413793104
30 3.533333333333333
31 3.419354838709677
32 3.3125
33 3.212121212121212
34 3.1176470588235294
35 3.0285714285714285
36 2.9444444444444446
37 2.8648648648648654
38 2.789473684210526
39 2.717948717948718
40 2.6500000000000004
41 2.585365853658537
42 2.523809523809524
43 2.465116279069768
44 2.4090909090909096
45 2.3555555555555556
46 2.3043478260869565
47 2.2553191489361706
48 2.2083333333333335
49 2.163265306122449
50 2.1200000000000006
51 2.0784313725490193
52 2.0384615384615383
53 2.0000000000000004
54 1.962962962962963
55 1.9272727272727272
56 1.8928571428571428
57 1.8596491228070173
58 1.8275862068965516
59 1.7966101694915255
60 1.7666666666666666
61 1.7377049180327873
62 1.7096774193548385
63 1.6825396825396826
64 1.65625
65 1.630769230769231
66 1.606060606060606
67 1.5820895522388059
68 1.5588235294117647
69 1.5362318840579712
70 1.5142857142857145
71 1.4929577464788732
72 1.4722222222222223
73 1.452054794520548
74 1.4324324324324327
75 1.4133333333333336
76 1.3947368421052633
77 1.3766233766233769
78 1.358974358974359
79 1.3417721518987342
80 1.3250000000000002
81 1.308641975308642
82 1.2926829268292686
83 1.2771084337349399
84 1.261904761904762
85 1.247058823529412
86 1.232558139534884
87 1.2183908045977012
88 1.2045454545454548
89 1.1910112359550562
90 1.177777777777778
91 1.1648351648351651
92 1.1521739130434783
93 1.1397849462365595
94 1.1276595744680853
95 1.1157894736842107
96 1.1041666666666667
97 1.0927835051546393
98 1.0816326530612246
99 1.070707070707071
100 1.0600000000000003
101 1.0495049504950498
102 1.0392156862745099
103 1.029126213592233
104 1.0192307692307694
105 1.0095238095238097
106 1.0
107 0.9906542056074765
108 0.9814814814814815
109 0.9724770642201835
110 0.9636363636363636
111 0.954954954954955
112 0.9464285714285714
113 0.9380530973451326
114 0.9298245614035088
115 0.9217391304347826
116 0.9137931034482758
117 0.9059829059829061
118 0.8983050847457628
119 0.8907563025210085
120 0.8833333333333334
121 0.8760330578512396
122 0.8688524590163936
123 0.861788617886179
124 0.8548387096774195
